ticker,status,reason,mcap_b
COIN,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
MDLN,considered-dropped,too recent: IPO 2025-12-17; +180 td outcome not yet observable,
SPOT,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
RBLX,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
WORK,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
PLTR,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
STUB,considered-dropped,too recent: IPO 2025-09-17; +180 td outcome not yet observable,
BETA,considered-dropped,too recent: IPO 2025-11-04; +180 td outcome not yet observable,
NTSK,considered-dropped,too recent: IPO 2025-09-18; +180 td outcome not yet observable,
SQSP,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
NAVN,considered-dropped,too recent: IPO 2025-10-30; +180 td outcome not yet observable,
DOCN,considered-dropped,~$5.0B at listing (<$5B),
TEGP,considered-dropped,~$4.9B at listing (<$5B),
SE,considered-dropped,~$4.9B at listing (<$5B),
EPE,considered-dropped,~$4.9B at listing (<$5B),
WGP,considered-dropped,~$4.8B at listing (<$5B),
WDH,considered-dropped,~$4.7B at listing (<$5B),
DOCS,considered-dropped,~$4.7B at listing (<$5B),
ARMK,considered-dropped,~$4.7B at listing (<$5B),
FLNC,considered-dropped,~$4.7B at listing (<$5B),
WDAY,considered-dropped,~$4.6B at listing (<$5B),
VOYA,considered-dropped,~$4.6B at listing (<$5B),
CQH,considered-dropped,~$4.6B at listing (<$5B),
SANA,considered-dropped,~$4.6B at listing (<$5B),
AXTA,considered-dropped,~$4.6B at listing (<$5B),
VVV,considered-dropped,~$4.5B at listing (<$5B),
YOU,considered-dropped,~$4.5B at listing (<$5B),
DOCU,considered-dropped,~$4.5B at listing (<$5B),
DT,considered-dropped,~$4.4B at listing (<$5B),
ARD,considered-dropped,~$4.4B at listing (<$5B),
CRCT,considered-dropped,~$4.4B at listing (<$5B),
NET,considered-dropped,~$4.4B at listing (<$5B),
COUR,considered-dropped,~$4.4B at listing (<$5B),
TEAM,considered-dropped,~$4.4B at listing (<$5B),
ARX,considered-dropped,~$4.4B at listing (<$5B),
WRBY,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
SABR,considered-dropped,~$4.3B at listing (<$5B),
LNKD,considered-dropped,~$4.3B at listing (<$5B),
EVHC,considered-dropped,~$4.3B at listing (<$5B),
GSKY,considered-dropped,~$4.3B at listing (<$5B),
ETOR,considered-dropped,~$4.3B at listing (<$5B),
DV,considered-dropped,~$4.2B at listing (<$5B),
WRD,considered-dropped,~$4.2B at listing (<$5B),
RXT,considered-dropped,~$4.2B at listing (<$5B),
SHLS,considered-dropped,~$4.2B at listing (<$5B),
NCLH,considered-dropped,~$4.1B at listing (<$5B),
TRU,considered-dropped,~$4.1B at listing (<$5B),
FIT,considered-dropped,~$4.1B at listing (<$5B),
ULCC,considered-dropped,~$4.1B at listing (<$5B),
AMPL,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
AMWL,considered-dropped,~$4.1B at listing (<$5B),
ALSN,considered-dropped,~$4.1B at listing (<$5B),
AI,considered-dropped,~$4.0B at listing (<$5B),
DH,considered-dropped,~$4.0B at listing (<$5B),
BILI,considered-dropped,~$4.0B at listing (<$5B),
UDMY,considered-dropped,~$4.0B at listing (<$5B),
CXM,considered-dropped,~$4.0B at listing (<$5B),
FROG,considered-dropped,~$4.0B at listing (<$5B),
CNM,considered-dropped,~$4.0B at listing (<$5B),
BLND,considered-dropped,~$4.0B at listing (<$5B),
WOOF,considered-dropped,~$3.9B at listing (<$5B),
LDI,considered-dropped,~$3.9B at listing (<$5B),
HAYW,considered-dropped,~$3.9B at listing (<$5B),
HEPS,considered-dropped,~$3.9B at listing (<$5B),
VZIO,considered-dropped,~$3.9B at listing (<$5B),
ACVA,considered-dropped,~$3.9B at listing (<$5B),
CHNG,considered-dropped,~$3.8B at listing (<$5B),
PVTL,considered-dropped,~$3.8B at listing (<$5B),
BROS,considered-dropped,~$3.8B at listing (<$5B),
BKFS,considered-dropped,~$3.7B at listing (<$5B),
CVRR,considered-dropped,~$3.7B at listing (<$5B),
SWCH,considered-dropped,~$3.7B at listing (<$5B),
WB,considered-dropped,~$3.7B at listing (<$5B),
DUOL,considered-dropped,~$3.7B at listing (<$5B),
TXG,considered-dropped,~$3.7B at listing (<$5B),
DRVN,considered-dropped,~$3.7B at listing (<$5B),
VIA,considered-dropped,~$3.7B at listing (<$5B),
CWAN,considered-dropped,~$3.6B at listing (<$5B),
VNTV,considered-dropped,~$3.6B at listing (<$5B),
CWK,considered-dropped,~$3.6B at listing (<$5B),
WAY,considered-dropped,~$3.6B at listing (<$5B),
VTEX,considered-dropped,~$3.6B at listing (<$5B),
GLBE,considered-dropped,~$3.6B at listing (<$5B),
OLO,considered-dropped,~$3.6B at listing (<$5B),
FIGS,considered-dropped,~$3.5B at listing (<$5B),
LTH,considered-dropped,~$3.5B at listing (<$5B),
CERT,considered-dropped,~$3.5B at listing (<$5B),
PWSC,considered-dropped,~$3.5B at listing (<$5B),
NXT,considered-dropped,~$3.5B at listing (<$5B),
NVST,considered-dropped,~$3.4B at listing (<$5B),
BNTX,considered-dropped,~$3.4B at listing (<$5B),
ZIP,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
KC,considered-dropped,~$3.4B at listing (<$5B),
ALHC,considered-dropped,~$3.4B at listing (<$5B),
SNDR,considered-dropped,~$3.3B at listing (<$5B),
AZEK,considered-dropped,~$3.3B at listing (<$5B),
RSKD,considered-dropped,~$3.3B at listing (<$5B),
EVCM,considered-dropped,~$3.3B at listing (<$5B),
GEMI,considered-dropped,~$3.3B at listing (<$5B),
ASAN,considered-dropped,direct listing (no underwriter/lockup) - excluded by spec,
SLQT,considered-dropped,~$3.2B at listing (<$5B),
PANW,considered-dropped,~$3.2B at listing (<$5B),
NXPI,considered-dropped,~$3.2B at listing (<$5B),
FHB,considered-dropped,~$3.2B at listing (<$5B),
PSTG,considered-dropped,~$3.2B at listing (<$5B),
GPRO,considered-dropped,~$3.2B at listing (<$5B),
AMH,considered-dropped,~$3.1B at listing (<$5B),
GDDY,considered-dropped,~$3.1B at listing (<$5B),
PACS,considered-dropped,~$3.1B at listing (<$5B),
ACT,considered-dropped,~$3.1B at listing (<$5B),
POSH,considered-dropped,~$3.1B at listing (<$5B),
ST,considered-dropped,~$3.1B at listing (<$5B),
BLLN,considered-dropped,too recent: IPO 2025-11-06; +180 td outcome not yet observable,
NP,considered-dropped,too recent: IPO 2025-10-01; +180 td outcome not yet observable,
AERO,considered-dropped,too recent: IPO 2025-11-06; +180 td outcome not yet observable,
